  Frame NC3-PO4 PO4-GL1 GL1-GL2 GL1-C1A GL2-C1B C1A-C2A C2A-C3A C3A-C4A C1B-C2B C2B-C3B C3B-C4B
-----------------------------------------------------------------------------------------------
      0  -0.094   0.666  -0.190   0.495   0.381   0.435   0.332   0.246   0.404   0.299   0.236
      1  -0.099   0.570  -0.172   0.475   0.477   0.449   0.399   0.297   0.510   0.406   0.218
      2  -0.170   0.666  -0.224   0.553   0.488   0.570   0.431   0.228   0.499   0.400   0.134
      3  -0.145   0.597  -0.221   0.525   0.459   0.467   0.374   0.224   0.469   0.365   0.221
      4  -0.186   0.647  -0.273   0.576   0.434   0.472   0.347   0.191   0.486   0.370   0.204
      5  -0.098   0.638  -0.234   0.565   0.495   0.425   0.378   0.268   0.486   0.282   0.106
      6  -0.144   0.598  -0.105   0.459   0.465   0.421   0.349   0.208   0.464   0.343   0.274
      7  -0.128   0.625  -0.231   0.541   0.457   0.437   0.341   0.267   0.497   0.382   0.181
      8  -0.137   0.649  -0.176   0.524   0.494   0.476   0.410   0.252   0.478   0.441   0.282
      9  -0.130   0.597  -0.198   0.540   0.447   0.544   0.455   0.334   0.439   0.409   0.254
     10  -0.091   0.618  -0.196   0.541   0.495   0.442   0.306   0.201   0.515   0.397   0.154
     11  -0.155   0.616  -0.145   0.481   0.486   0.475   0.328   0.181   0.509   0.343   0.214
     12  -0.182   0.690  -0.233   0.513   0.481   0.488   0.411   0.227   0.433   0.324   0.154
     13  -0.148   0.667  -0.250   0.540   0.397   0.512   0.376   0.256   0.356   0.363   0.206
     14  -0.105   0.635  -0.231   0.506   0.470   0.519   0.433   0.222   0.388   0.326   0.209
     15  -0.159   0.635  -0.186   0.565   0.464   0.465   0.348   0.224   0.469   0.388   0.275
     16  -0.130   0.634  -0.208   0.494   0.398   0.455   0.299   0.237   0.356   0.313   0.202
     17  -0.061   0.607  -0.204   0.462   0.505   0.486   0.373   0.186   0.422   0.338   0.174
     18  -0.120   0.619  -0.185   0.506   0.453   0.454   0.431   0.283   0.436   0.285   0.231
     19  -0.162   0.569  -0.235   0.517   0.451   0.546   0.378   0.254   0.369   0.358   0.178
     20  -0.145   0.600  -0.223   0.554   0.483   0.492   0.417   0.321   0.470   0.363   0.140
     21  -0.113   0.593  -0.198   0.506   0.413   0.481   0.340   0.250   0.442   0.389   0.204
     22  -0.163   0.618  -0.209   0.520   0.442   0.446   0.388   0.235   0.489   0.335   0.248
     23  -0.093   0.661  -0.248   0.470   0.428   0.477   0.325   0.184   0.415   0.361   0.239
     24  -0.140   0.592  -0.198   0.528   0.435   0.530   0.393   0.279   0.461   0.326   0.126
     25  -0.124   0.580  -0.165   0.515   0.444   0.509   0.343   0.187   0.419   0.345   0.280
-----------------------------------------------------------------------------------------------
average  -0.132   0.623  -0.205   0.518   0.455   0.480   0.373   0.240   0.449   0.356   0.206
Abs average order parameters for carbon chains <Sn> =    0.385 

